,Method,a,b,k,e
0,dichotomy,-2.0,2.0,1.0,0.1
1,dichotomy,-2.0,0.030000000000000002,1.9704433497536948,0.1
2,dichotomy,-1.015,0.030000000000000002,1.9425837320574162,0.1
3,dichotomy,-0.5225,0.030000000000000002,1.8914027149321266,0.1
4,dichotomy,-0.27625,0.030000000000000002,1.804081632653061,0.1
5,dichotomy,-0.153125,0.030000000000000002,1.6723549488054608,0.1
6,dichotomy,-0.0915625,0.030000000000000002,1.506426735218509,0.1
7,golden_ratio,-2.0,2.0,1.0,0.1
8,golden_ratio,-2.0,0.4721359549995796,1.6180339887498947,0.1
9,golden_ratio,-1.0557280900008412,0.4721359549995796,1.6180339887498947,0.1
10,golden_ratio,-0.4721359549995796,0.4721359549995796,1.6180339887498942,0.1
11,golden_ratio,-0.4721359549995796,0.11145618000168256,1.6180339887498947,0.1
12,golden_ratio,-0.24922359499621466,0.11145618000168256,1.6180339887498947,0.1
13,golden_ratio,-0.11145618000168223,0.11145618000168256,1.6180339887498965,0.1
14,golden_ratio,-0.11145618000168223,0.026311234992849847,1.6180339887498947,0.1
15,fibonacci,-2.0,2.0,1.0,0.1
16,fibonacci,-2.0,0.47272727272727266,1.6176470588235294,0.1
17,fibonacci,-1.0545454545454547,0.47272727272727266,1.6190476190476188,0.1
18,fibonacci,-0.47272727272727266,0.47272727272727266,1.6153846153846156,0.1
19,fibonacci,-0.47272727272727266,0.10909090909090913,1.6249999999999998,0.1
20,fibonacci,-0.2545454545454545,0.10909090909090913,1.5999999999999999,0.1
21,fibonacci,-0.10909090909090913,0.10909090909090913,1.666666666666666,0.1
22,parabolic,-2.0,2.0,1.0,0.1
23,parabolic,-0.7207948703648465,2.0,1.4701586082686262,0.1
24,parabolic,-0.26544714754222193,2.0,1.2009968421980757,0.1
25,brent,-2.0,2.0,1.0,0.1
26,brent,-2.0,0.7639320225002102,1.447213595499958,0.1
27,brent,-2.0,0.2917960675006308,1.2060113295832984,0.1
28,dichotomy,-2.0,2.0,1.0,0.01
29,dichotomy,-2.0,0.003,1.9970044932601096,0.01
30,dichotomy,-1.0015,0.003,1.9940268790443008,0.01
31,dichotomy,-0.50225,0.003,1.9881246907471548,0.01
32,dichotomy,-0.252625,0.003,1.9765281173594131,0.01
33,dichotomy,-0.1278125,0.003,1.954132823698041,0.01
34,dichotomy,-0.06540625,0.003,1.9122887163088167,0.01
35,dichotomy,-0.034203125,0.003,1.838723225535489,0.01
36,dichotomy,-0.018601562500000002,0.003,1.722242314647378,0.01
37,dichotomy,-0.010800781250000002,0.003,1.5652420039626378,0.01
38,golden_ratio,-2.0,2.0,1.0,0.01
39,golden_ratio,-2.0,0.4721359549995796,1.6180339887498947,0.01
40,golden_ratio,-1.0557280900008412,0.4721359549995796,1.6180339887498947,0.01
41,golden_ratio,-0.4721359549995796,0.4721359549995796,1.6180339887498942,0.01
